id_bat;level;occupcode_id;area;nblevel;nblevelrec;groundarea;datastate;recordstate;index;id_block;regroupement_fill
634416;0.0;14.01.00.00;2.0;1.0;0.0;2.0;V;O;0;68;industrie
917995;0.0;01.50.01.00;3.0;1.0;0.0;3.0;V;O;10;68;logement
795798;0.0;01.50.01.00;3.0;1.0;0.0;3.0;V;O;11;68;logement
968734;0.0;01.50.01.00;5.0;1.0;0.0;5.0;V;O;12;68;logement
631505;0.0;01.50.01.00;5.0;1.0;0.0;5.0;V;O;13;68;logement
203877;0.0;01.01.00.00;86.0;2.0;1.0;86.0;V;O;14;68;logement
203877;1.0;01.01.00.00;86.0;2.0;1.0;86.0;V;O;15;68;logement
203877;2.0;01.01.00.00;86.0;2.0;1.0;86.0;V;O;16;68;logement
427385;0.0;01.50.01.00;10.0;1.0;0.0;10.0;V;O;17;68;logement
129103;0.0;01.00.00.00;55.0;2.0;1.0;55.0;V;O;18;68;logement
129103;1.0;01.00.00.00;55.0;2.0;1.0;55.0;V;O;19;68;logement
129103;2.0;01.00.00.00;55.0;2.0;1.0;55.0;V;O;20;68;logement
728423;0.0;01.01.00.00;65.0;2.0;1.0;65.0;V;O;21;68;logement
728423;1.0;01.01.00.00;65.0;2.0;1.0;65.0;V;O;22;68;logement
728423;2.0;01.01.00.00;65.0;2.0;1.0;65.0;V;O;23;68;logement
37497;0.0;01.01.00.00;84.0;2.0;1.0;84.0;V;O;24;68;logement
37497;1.0;01.01.00.00;84.0;2.0;1.0;84.0;V;O;25;68;logement
37497;2.0;01.01.00.00;84.0;2.0;1.0;84.0;V;O;26;68;logement
122744;0.0;01.01.00.00;64.0;2.0;1.0;64.0;V;O;27;68;logement
122744;1.0;01.01.00.00;64.0;2.0;1.0;64.0;V;O;28;68;logement
122744;2.0;01.01.00.00;64.0;2.0;1.0;64.0;V;O;29;68;logement
231902;0.0;01.01.00.00;541.0;7.0;0.0;541.0;V;O;30;68;logement
231902;1.0;01.01.00.00;541.0;7.0;0.0;541.0;V;O;31;68;logement
231902;2.0;01.01.00.00;541.0;7.0;0.0;541.0;V;O;32;68;logement
231902;3.0;01.01.00.00;541.0;7.0;0.0;541.0;V;O;33;68;logement
231902;4.0;01.01.00.00;541.0;7.0;0.0;541.0;V;O;34;68;logement
231902;5.0;01.01.00.00;541.0;7.0;0.0;541.0;V;O;35;68;logement
231902;6.0;01.01.00.00;541.0;7.0;0.0;541.0;V;O;36;68;logement
79799;0.0;01.01.00.00;586.0;15.0;0.0;586.0;V;O;37;68;logement
79799;1.0;01.01.00.00;586.0;15.0;0.0;586.0;V;O;38;68;logement
79799;2.0;01.01.00.00;586.0;15.0;0.0;586.0;V;O;39;68;logement
79799;3.0;01.01.00.00;586.0;15.0;0.0;586.0;V;O;40;68;logement
79799;4.0;01.01.00.00;586.0;15.0;0.0;586.0;V;O;41;68;logement
79799;5.0;01.01.00.00;586.0;15.0;0.0;586.0;V;O;42;68;logement
79799;6.0;01.01.00.00;586.0;15.0;0.0;586.0;V;O;43;68;logement
79799;7.0;01.01.00.00;586.0;15.0;0.0;586.0;V;O;44;68;logement
79799;8.0;01.01.00.00;586.0;15.0;0.0;586.0;V;O;45;68;logement
79799;9.0;01.01.00.00;586.0;15.0;0.0;586.0;V;O;46;68;logement
79799;10.0;01.01.00.00;586.0;15.0;0.0;586.0;V;O;47;68;logement
79799;11.0;01.01.00.00;586.0;15.0;0.0;586.0;V;O;48;68;logement
79799;12.0;01.01.00.00;586.0;15.0;0.0;586.0;V;O;49;68;logement
79799;13.0;01.01.00.00;586.0;15.0;0.0;586.0;V;O;50;68;logement
79799;14.0;01.01.00.00;586.0;15.0;0.0;586.0;V;O;51;68;logement
686193;0.0;01.50.01.00;9.0;1.0;0.0;9.0;V;O;57;68;logement
722634;0.0;01.50.01.00;9.0;1.0;0.0;9.0;V;O;58;68;logement
156905;0.0;05.06.04.00;143.0;1.0;1.0;143.0;V;O;59;68;commerce
156905;1.0;01.01.00.00;100.0;1.0;1.0;143.0;V;O;60;68;logement
200118;0.0;15.00.00.00;135.0;1.0;0.0;135.0;V;O;61;68;
346960;0.0;01.01.00.00;50.0;3.0;0.0;50.0;V;O;62;68;logement
346960;1.0;01.01.00.00;50.0;3.0;0.0;50.0;V;O;63;68;logement
346960;2.0;01.01.00.00;50.0;3.0;0.0;50.0;V;O;64;68;logement
476202;0.0;16.01.00.00;7.0;1.0;0.0;7.0;V;O;242;68;équipements
200118;0.0;06.00.00.00;1503.0;1.0;0.0;1503.0;V;O;247;68;équipements
200118;0.0;04.01.00.00;13.0;1.0;0.0;13.0;V;O;272;68;industrie
776730;0.0;16.01.00.00;259.0;1.0;0.0;259.0;V;O;283;68;équipements
627505;0.0;01.01.00.00;60.0;1.0;0.0;60.0;V;O;315;68;logement
925445;0.0;01.50.02.00;152.0;1.0;0.0;152.0;V;O;316;68;logement
333196;0.0;01.50.00.00;13.0;1.0;0.0;13.0;V;O;317;68;logement
90725;0.0;05.06.04.00;23.0;1.0;0.0;23.0;V;O;318;68;commerce
501197;0.0;04.01.02.00;9.0;1.0;0.0;9.0;V;O;320;68;industrie
273309;0.0;01.01.00.00;87.0;3.0;0.0;87.0;V;O;343;68;logement
273309;1.0;01.01.00.00;87.0;3.0;0.0;87.0;V;O;344;68;logement
273309;2.0;01.01.00.00;87.0;3.0;0.0;87.0;V;O;345;68;logement
781042;2.0;01.01.00.00;59.0;3.0;0.0;59.0;V;O;351;68;logement
781042;0.0;01.01.00.00;59.0;3.0;0.0;59.0;V;O;352;68;logement
781042;1.0;01.01.00.00;59.0;3.0;0.0;59.0;V;O;353;68;logement
229559;0.0;01.01.00.00;64.0;3.0;0.0;64.0;V;O;354;68;logement
229559;1.0;01.01.00.00;64.0;3.0;0.0;64.0;V;O;355;68;logement
229559;2.0;01.01.00.00;64.0;3.0;0.0;64.0;V;O;356;68;logement
214189;0.0;01.01.00.00;52.0;2.0;1.0;52.0;V;O;357;68;logement
214189;1.0;01.01.00.00;52.0;2.0;1.0;52.0;V;O;358;68;logement
214189;2.0;01.01.00.00;52.0;2.0;1.0;52.0;V;O;359;68;logement
289625;0.0;01.01.00.00;62.0;2.0;1.0;62.0;V;O;360;68;logement
289625;1.0;01.01.00.00;62.0;2.0;1.0;62.0;V;O;361;68;logement
289625;2.0;01.01.00.00;62.0;2.0;1.0;62.0;V;O;362;68;logement
686597;0.0;01.50.01.00;3.0;1.0;0.0;3.0;V;O;363;68;logement
147415;0.0;01.01.00.00;54.0;2.0;1.0;54.0;V;O;364;68;logement
147415;1.0;01.01.00.00;54.0;2.0;1.0;54.0;V;O;365;68;logement
147415;2.0;01.01.00.00;54.0;2.0;1.0;54.0;V;O;366;68;logement
478987;0.0;01.50.01.00;6.0;1.0;0.0;6.0;V;O;367;68;logement
580916;0.0;01.01.00.00;53.0;2.0;1.0;53.0;V;O;368;68;logement
580916;1.0;01.01.00.00;53.0;2.0;1.0;53.0;V;O;369;68;logement
580916;2.0;01.01.00.00;53.0;2.0;1.0;53.0;V;O;370;68;logement
360489;0.0;01.50.01.00;7.0;1.0;0.0;7.0;V;O;371;68;logement
6134;0.0;01.50.01.00;8.0;1.0;0.0;8.0;V;O;372;68;logement
950526;0.0;01.01.00.00;53.0;2.0;1.0;53.0;V;O;373;68;logement
950526;1.0;01.01.00.00;53.0;2.0;1.0;53.0;V;O;374;68;logement
950526;2.0;01.01.00.00;53.0;2.0;1.0;53.0;V;O;375;68;logement
945684;0.0;01.01.00.00;76.0;3.0;0.0;76.0;V;O;376;68;logement
945684;1.0;01.01.00.00;76.0;3.0;0.0;76.0;V;O;377;68;logement
945684;2.0;01.01.00.00;76.0;3.0;0.0;76.0;V;O;378;68;logement
352531;0.0;01.01.00.00;54.0;3.0;0.0;54.0;V;O;379;68;logement
352531;1.0;01.01.00.00;54.0;3.0;0.0;54.0;V;O;380;68;logement
352531;2.0;01.01.00.00;54.0;3.0;0.0;54.0;V;O;381;68;logement
944915;0.0;01.01.00.00;76.0;2.0;1.0;76.0;V;O;382;68;logement
944915;1.0;01.01.00.00;76.0;2.0;1.0;76.0;V;O;383;68;logement
944915;2.0;01.01.00.00;76.0;2.0;1.0;76.0;V;O;384;68;logement
643550;0.0;01.01.00.00;72.0;3.0;0.0;72.0;V;O;385;68;logement
643550;1.0;01.01.00.00;72.0;3.0;0.0;72.0;V;O;386;68;logement
643550;2.0;01.01.00.00;72.0;3.0;0.0;72.0;V;O;387;68;logement
471638;0.0;01.01.00.00;66.0;3.0;0.0;66.0;V;O;388;68;logement
471638;1.0;01.01.00.00;66.0;3.0;0.0;66.0;V;O;389;68;logement
471638;2.0;01.01.00.00;66.0;3.0;0.0;66.0;V;O;390;68;logement
921672;0.0;01.01.00.00;62.0;3.0;0.0;62.0;V;O;391;68;logement
921672;1.0;01.01.00.00;62.0;3.0;0.0;62.0;V;O;392;68;logement
921672;2.0;01.01.00.00;62.0;3.0;0.0;62.0;V;O;393;68;logement
596555;0.0;01.01.00.00;53.0;2.0;1.0;53.0;V;O;394;68;logement
596555;1.0;01.01.00.00;53.0;2.0;1.0;53.0;V;O;395;68;logement
596555;2.0;01.01.00.00;53.0;2.0;1.0;53.0;V;O;396;68;logement
924888;0.0;01.01.00.00;43.0;2.0;1.0;43.0;V;O;397;68;logement
924888;1.0;01.01.00.00;43.0;2.0;1.0;43.0;V;O;398;68;logement
924888;2.0;01.01.00.00;43.0;2.0;1.0;43.0;V;O;399;68;logement
649050;0.0;01.01.00.00;56.0;2.0;1.0;56.0;V;O;400;68;logement
649050;1.0;01.01.00.00;56.0;2.0;1.0;56.0;V;O;401;68;logement
649050;2.0;01.01.00.00;56.0;2.0;1.0;56.0;V;O;402;68;logement
645636;0.0;01.01.00.00;59.0;2.0;1.0;59.0;V;O;403;68;logement
645636;1.0;01.01.00.00;59.0;2.0;1.0;59.0;V;O;404;68;logement
645636;2.0;01.01.00.00;59.0;2.0;1.0;59.0;V;O;405;68;logement
694124;0.0;01.01.00.00;59.0;2.0;1.0;59.0;V;O;406;68;logement
694124;1.0;01.01.00.00;59.0;2.0;1.0;59.0;V;O;407;68;logement
694124;2.0;01.01.00.00;59.0;2.0;1.0;59.0;V;O;408;68;logement
470518;0.0;01.01.00.00;65.0;3.0;0.0;65.0;V;O;409;68;logement
470518;1.0;01.01.00.00;65.0;3.0;0.0;65.0;V;O;410;68;logement
470518;2.0;01.01.00.00;65.0;3.0;0.0;65.0;V;O;411;68;logement
223851;0.0;01.50.01.00;2.0;1.0;0.0;2.0;V;O;412;68;logement
587001;0.0;01.01.00.00;81.0;3.0;0.0;81.0;V;O;413;68;logement
587001;1.0;01.01.00.00;81.0;3.0;0.0;81.0;V;O;414;68;logement
587001;2.0;01.01.00.00;81.0;3.0;0.0;81.0;V;O;415;68;logement
265753;0.0;01.01.00.00;62.0;3.0;0.0;62.0;V;O;416;68;logement
