id_bat;len_occ_brat;len_occ_db;miss_db;miss_brat;miss_all;max_nomen;miss_nomen_db;miss_area;miss_nomen_brat;nomen_brat;nomen_db;geometry
2495;2;0;2;0;2;2;['09', '03'];10866.0;[];['09', '03'];[];POLYGON ((143324.199467872 167148.927535972, 143325.675262198 167139.340126651, 143330.490809672 167115.3774263, 143319.010874921 167112.795855653, 143254.723240317 167101.322208336, 143252.377477362 167114.51119482, 143248.687991548 167135.40683052, 143243.937134034 167163.160991265, 143259.74571177 167166.07375962, 143270.508150599 167167.938227309, 143288.732547016 167171.523742096, 143301.934471979 167174.105312742, 143319.29787329 167177.335121816, 143324.199467872 167148.927535972))
93990;1;0;1;0;1;1;['03'];10.0;[];['03'];[];POLYGON ((147174.380000003 169095.380842434, 147177.860000003 169096.140842435, 147178.500000003 169093.530842435, 147175.050000003 169092.670842434, 147174.380000003 169095.380842434))
33014;1;0;1;0;1;1;['14'];27.0;[];['14'];[];POLYGON ((146883.720000004 169058.870842436, 146887.080000004 169059.670842434, 146887.120000004 169059.520842434, 146888.920000004 169052.024842436, 146885.550000004 169051.250842435, 146883.720000004 169058.870842436))
99419;1;0;1;0;1;1;['04'];68.0;[];['04'];[];POLYGON ((147231.060000003 169096.700842434, 147237.500000308 169105.600842617, 147241.100000213 169089.43084292, 147231.060000003 169096.700842434))
80459;1;0;1;0;1;1;['05'];128.0;[];['05'];[];POLYGON ((147290.260000003 169122.910842435, 147295.290000003 169131.960842434, 147301.300371966 169126.230232529, 147301.950000003 169125.610842436, 147301.620000003 169125.270842434, 147304.840000003 169122.090842433, 147304.040000003 169120.750842434, 147298.190000003 169114.810842433, 147292.220000003 169120.680842434, 147290.260000003 169122.910842435))
9481;2;2;0;0;0;2;[];0.0;[];['05', '01'];['05', '01'];POLYGON ((147287.599988621 169129.790963517, 147285.703124219 169130.192794171, 147285.506930651 169131.079929255, 147285.073174754 169133.046556055, 147285.023000003 169133.268842435, 147284.628222184 169135.056340775, 147283.708717622 169139.217366502, 147283.569000003 169139.859842435, 147283.160745321 169141.697100623, 147282.577319882 169144.337270515, 147282.097000003 169146.510842433, 147286.893449686 169147.632963467, 147288.878981575 169147.374708521, 147294.979981952 169144.125777022, 147294.008000003 169142.240842436, 147292.828000003 169139.950842435, 147291.720000003 169137.799842435, 147290.979111114 169136.35453188, 147289.864064411 169134.188678088, 147289.697593094 169133.865326133, 147287.599988621 169129.790963517))
96449;1;0;1;0;1;1;['03'];144.0;[];['03'];[];POLYGON ((147084.520000003 169088.550842433, 147091.210000003 169090.120842434, 147095.870000003 169069.660842435, 147089.160000003 169068.120842434, 147084.520000003 169088.550842433))
38018;1;1;0;0;0;1;[];0.0;[];['01'];['01'];POLYGON ((147587.870000003 164341.060842452, 147587.180000002 164337.290842452, 147584.480000003 164337.790842453, 147585.170000003 164341.550842453, 147587.870000003 164341.060842452))
80323;1;0;1;0;1;1;['01'];17.0;[];['01'];[];POLYGON ((147707.420000002 164386.460842449, 147704.660000002 164388.240842452, 147707.440000002 164392.550842451, 147710.200000002 164390.770842451, 147707.420000002 164386.460842449))
8230;1;1;0;0;0;1;[];0.0;[];['01'];['01'];POLYGON ((147698.230000002 164384.290842452, 147693.530000002 164387.560842452, 147695.360000002 164390.190842452, 147700.060000002 164386.920842452, 147698.230000002 164384.290842452))
