id_bat;area;level_all;SP;id_block;nomenclature;regroupement_fill;area_occ;source;date_insert;date_out
670109;1.6;;1.600783999101666;527;;;;;;
416459;57.08;1.0;57.08353200777541;505;;;;;;
738345;31.14;1.0;31.140744689734344;505;;;;;;
461666;193.94;1.0;193.93899998712777;505;;;;;;
913134;118.84;1.0;118.84228991411209;505;;;;;;
193360;172.24;1.0;172.24364476055618;505;;;;;;
461277;16.17;;16.170662531125735;505;;;;;;
94909;29.47;1.0;29.471232994407536;505;;;;;;
816215;25.28;;25.2785001543573;505;;;;;;
293727;239.54;1.0;239.5384305636149;505;;;;;;
36765;244.84;1.0;244.83963565765583;505;;;;;;
959394;676.15;3.0;1451.248164230465;505;;;;;;
854149;2866.5;1.0;2866.4993072022185;505;;;;;;
367331;174.68;1.0;174.67611166001834;505;;;;;;
532171;21.21;;21.209708787758803;505;;;;;;
742400;137.43;2.0;223.23931375777207;505;05.05.01.01;commerce;;hub;2024-10-17 15:01:00;
853903;3708.87;2.0;5464.840640660637;505;;;;;;
431109;152.13;1.0;152.12935693849334;505;;;;;;
734334;228.33;1.0;228.33494999101768;505;;;;;;
112001;3955.54;4.0;9042.493777757263;505;;;;;;
188900;514.17;2.0;974.8484859312816;505;;;;;;
958604;49.09;1.0;49.09089100288045;505;;;;;;
828450;296.52;1.0;296.5221884489797;505;;;;;;
606486;842.42;3.0;1861.1358641933912;505;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
606486;842.42;3.0;1861.1358641933912;505;16.01.01.00;équipements;;kadaster_sport;2024-10-14 14:16;
606486;842.42;3.0;1861.1358641933912;505;16.01.02.00;équipements;;hub;2024-10-17 15:01:00;
872504;4271.47;4.0;11104.916886778394;505;;;;;;
206602;2169.06;1.0;2169.0588356208987;505;;;;;;
924575;1221.08;2.0;2204.9341213872312;505;;;;;;
838561;452.38;2.0;857.1667213780681;505;03.00.00.00;bureau;;cada_fill;2025-01-01 00:01:00;
240123;121.06;2.0;242.10343900850825;505;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
240123;121.06;2.0;242.10343900850825;505;03.02.06.00;bureau;147.0;ob40;2024-12-16 14:36:00;
85611;2691.23;2.0;4572.949116142882;505;;;;;;
103734;18.86;;18.85963737848304;505;;;;;;
161936;443.01;1.0;443.0139080133731;504;;;;;;
830768;373.55;1.0;373.5519104978116;504;03.00.00.00;bureau;190.0;ob40;2024-12-16 14:36:00;
177235;381.41;2.0;762.827384572647;504;05.04.04.03;commerce;;hub;2024-10-17 15:01:00;
177235;381.41;2.0;762.827384572647;504;03.00.00.00;bureau;740.0;ob40;2024-12-16 14:36:00;
4645;348.0;1.0;348.00299276570803;504;;;;;;
463581;1017.74;2.0;1994.1058731868588;504;03.00.00.00;bureau;772.0;ob40;2024-12-16 14:36:00;
513820;55.8;3.0;167.39935402144937;504;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
405855;85.49;3.0;221.5143505796878;504;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
710539;77.97;1.0;77.96959343682035;504;;;;;;
360729;106.03;2.0;153.71179818804538;504;;;;;;
455204;106.62;2.0;175.0363336373004;504;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
798261;90.46;3.0;224.9028795006264;504;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
273393;258.3;1.0;258.30276546697206;504;;;;;;
506494;387.57;1.0;387.5718380184984;504;;;;;;
587216;17.83;1.0;17.833964497238412;504;;;;;;
653276;105.81;2.0;153.47276980510065;504;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
657742;71.77;2.0;103.7044620259424;504;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
639576;220.84;4.0;777.512917773412;504;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
693066;32.0;1.0;32.00206099199467;504;;;;;;
288028;72.7;2.0;114.7698228062861;504;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
132733;17.95;1.0;17.946914956893277;504;;;;;;
409707;15.79;;15.790202997432653;504;16.00.00.00;équipements;;cada_fill;2025-01-01 00:01:00;
431009;15.82;;15.821831496251384;503;;;;;;
120349;68.64;3.0;188.9947523396579;498;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
984415;66.77;3.0;184.12818419804785;498;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
