id_bat;nomen_miss;miss_area
5900;9;4508.0
5900;3;6358.0
79028;3;10.0
91364;14;27.0
27199;4;68.0
67318;5;128.0
5725;3;144.0
13468;1;17.0
11687;1;20.0
70422;1;22.0
83233;1;32.0
40756;3;224.0
53998;7;271.0
34950;3;1587.0
92852;1;130.0
63193;1;130.0
37856;4;160.68
60434;1;21.14
6472;1;27.26
95229;1;97.9
8519;1;190.56
21813;6;233.9
39275;3;279.0
1786;1;27.04
92535;1;33.64
94033;10;161.98000000000002
28743;1;71.47
36340;1;84.3
41316;3;390.89
78941;7;217.46
75228;7;120.22
30889;1;152.41
44608;7;150.0
49481;7;150.0
41337;7;192.68
17502;1;198.46
88590;6;917.1
47154;6;25.9
59271;1;33.32
20067;1;49.72
92134;1;147.14999999999998
97858;1;61.49
78376;1;275.75
83103;1;137.56
88474;2;740.72
26120;3;212.08
96888;1;453.35
65340;9;214.27
44627;5;2230.0
70587;5;458.0
42915;13;355.0
41269;7;17.41
83626;3;49.87
49458;1;413.16
35477;3;112.78
8547;1;118.6
49248;7;168.86
12546;3;871.4499999999999
74155;7;201.38
69282;3;639.5999999999999
70402;9;249.69
70661;7;540.36
98121;7;101.31
47742;3;1269.48
45725;7;351.43
45725;3;211.43
1026;7;47.00000000000006
1026;2;1340.0
32243;1;14.61
62605;1;57.4
78949;1;287.0
49420;1;248.82
17341;1;204.11
52042;7;301.5
52042;3;99.5
43374;3;1358.1
77469;1;120.68
45133;1;175.3
21363;1;109.77
2873;1;115.39
6004;7;197.98
17986;3;201.51
15774;5;308.59
29947;7;361.73
31421;2;1130.68
33254;1;53.26
70640;1;559.4200000000001
92568;1;184.41
24800;1;888.9
86802;3;2149.84
14793;9;631.45
14793;10;300.0
28838;1;184.18
48274;1;722.9199999999998
10731;1;121.29
7589;3;170.48
19465;3;2300.0
92204;7;84.58
34399;7;200.0
34399;3;100.0
47010;2;15.29
44724;2;24.17
91948;9;114.05
29916;1;364.68
71163;3;661.5
18157;1;193.15
3700;7;324.13
16157;5;225.0
83912;1;4.64
71812;1;11.17
2135;5;17.34
57907;1;20.37
81635;1;25.14
4110;1;30.33
47053;1;35.8
95861;1;36.36
82681;1;125.06
40021;5;166.9
48419;7;92.94
34868;1;283.44
28499;7;101.0
28590;3;122.16
27007;1;454.11
54842;7;152.72
54842;5;152.72
54842;3;100.0
75667;1;825.6399999999999
42443;5;97.0
58112;7;436.52
29383;3;297.99
78223;5;1299.08
52699;7;0.0
40452;9;524.28
1253;14;3.02
35992;14;14.69
39465;14;17.17
65527;14;23.78
48839;14;26.13
82014;6;29.82
34746;1;201.32
3046;3;83.13
7752;14;84.28
34023;14;84.64
53958;7;50.28
66086;1;42.74
22452;5;38.12
22452;3;76.24
87011;1;39.85
54018;1;89.4
56411;3;47.08
83487;5;69.48
95468;3;74.96
67054;1;85.49
79168;3;50.25
63173;1;138.46
34413;3;75.0
25468;3;259.34
40006;1;248.39
85194;1;120.08
57086;5;32.2
11447;1;78.82
31065;1;98.82
73444;3;48.83
58496;3;51.12
92275;3;332.28
9457;11;416.76
10734;1;482.28
93941;1;21.0
44409;1;22.0
49662;14;29.0
25120;14;53.0
78538;3;72.0
6750;4;40.0
84934;1;53.0
41354;3;300.0
11970;1;108.0
76274;3;310.0
43888;3;496.0
91620;4;312.0
84647;9;257.0
80247;14;9.0
22061;3;187.0
6131;4;248.0
28079;4;1900.0
67896;3;1160.0
75454;14;8.0
34554;4;108.0
80541;4;115.0
92542;4;244.0
23962;14;340.0
81216;3;1719.0
2726;1;33.68
86047;1;35.48
26062;5;158.21
73226;5;160.64
19134;1;1173.42
87543;13;1151.97
78880;3;82.0
73386;6;290.0
46580;6;295.0
99938;6;300.0
7886;3;513.0
7380;9;220.0
7380;3;1040.0
16096;1;47.0
66936;4;150.0
32617;14;5.0
38143;14;6.0
32187;14;7.0
75279;14;17.0
15826;14;23.0
84484;1;24.0
1768;1;28.0
24269;1;28.0
34666;1;47.0
54831;1;56.0
8094;1;362.0
26000;4;2050.0
86391;4;2264.0
42962;7;10231.0
88469;14;9.0
35059;14;10.0
56286;9;9101.41
78143;1;32.0
45052;1;34.0
33614;5;95.0
28926;1;151.0
16218;4;155.0
53717;1;179.0
61384;3;50.0
60514;1;142.0
60557;4;1196.24
88173;3;487.65
37126;5;1620.94
37126;3;1046.0
11467;1;22.0
33849;1;406.0
87802;14;9.0
36868;16;23.0
18103;13;42.0
38049;4;26.0
63485;13;44.0
12842;4;85.0
92838;16;156.0
98604;16;169.0
43324;16;259.0
6553;1;110.0
6553;3;260.0
12369;13;804.0
13478;16;416.0
7920;4;503.0
54187;4;1220.0
75745;1;6.96
78855;9;18.16
62879;1;31.62
67997;1;75.12
72613;1;39.96
61120;5;135.86
61120;3;271.72
30991;1;11.0
47992;4;46.0
47622;4;842.0
6494;1;104.52
24379;13;40.57
9141;1;1719.36
95099;9;8.08
42369;4;8.42
70002;14;2.0
31773;1;2.51
65567;1;2.99
13874;1;3.44
45578;16;4.0
94587;1;4.79
63730;1;4.84
43503;1;4.89
24919;1;4.92
42440;1;4.96
44432;1;4.96
52781;1;5.05
48972;1;10.41
11813;1;5.44
27921;1;5.74
67917;1;6.98
47236;1;7.37
93393;1;7.86
86351;1;7.88
34804;9;7.94
55772;1;8.55
69619;1;9.73
94759;1;10.6
35989;1;12.35
74209;1;11.0
45635;1;12.8
94107;1;13.01
86895;1;13.83
58695;3;16.0
87493;1;18.0
50689;1;28.0
40792;1;34.0
69128;1;82.0
7520;1;157.14
24377;11;67.0
63565;3;107.0
70383;1;127.08
91036;3;127.0
26685;1;129.26
71546;9;165.0
71546;1;145.0
25089;1;269.88
72201;1;274.77
65281;5;270.53
65281;16;200.0
59110;4;315.0
74477;4;1224.0
1152;16;1639.0
99537;3;508.0
36699;5;600.0
36699;3;600.0
91569;20;90.0
22968;1;7.15
25871;1;14.09
15361;1;49.35
96721;1;87.46
51238;1;262.38
8960;14;73.71
30103;1;412.52
86432;4;231.73
36219;16;21.95
8256;16;44.37
16779;3;13.0
46261;3;8374.0
23468;1;5.0
18092;1;7.0
37701;1;8.0
7965;1;9.0
44079;4;12.0
83510;1;11.0
26739;1;13.0
15284;1;14.0
42112;1;21.0
48590;1;100.0
8156;4;501.0
38330;3;880.0
56369;3;902.0
82509;14;3.0
19651;1;37.0
6548;5;783.0
18216;1;4.0
62517;14;19.0
2665;1;20.0
41623;1;27.0
99297;4;382.0
12207;4;1126.0
82682;3;800.0
65805;6;6636.0
51407;3;796.0
73732;3;7148.0
83134;3;48.0
7092;16;803.0
37644;1;6.0
94248;14;16.0
60603;4;26.0
38453;3;162.0
75556;14;65.0
44296;14;85.0
35383;5;91.0
41694;16;56.5
54358;9;159.59
28873;14;22.01
74860;3;2196.24
23927;3;3619.0
15463;3;1100.0
99105;1;6.0
9748;1;5.0
73531;1;5.0
85246;1;7.0
54126;1;580.0
60146;4;124.0
60146;3;270.0
16386;4;197.0
26086;1;27.2
51357;4;39.6
30524;1;148.41
40286;4;59.0
66486;1;358.04
8384;14;83.0
1174;4;105.64
13289;4;126.38
13289;3;126.38
23060;5;211.0
57169;4;765.94
52991;3;1478.0
22006;3;1699.44
32420;1;537.9
49321;1;618.49
88425;1;8124.220000000003
35763;20;2344.17
56876;1;1015.08
18733;4;800.0
96280;4;3326.0
96280;14;10.0
38661;1;13.0
76621;14;249.0
67252;3;277.76
63387;3;2734.0
81363;4;10.4
75196;6;2493.65
13555;9;33.64
77391;9;10.68
24240;3;15.0
33630;3;1022.48
9557;14;10.34
78472;1;27.0
25421;3;39.0
63680;3;108.0
89330;4;34.0
22695;13;66.96
6768;5;49.19
87346;1;11.01
57921;1;2.66
36710;1;6.05
40322;1;3.0
25955;1;3.99
70690;1;4.83
93328;14;19.0
54156;14;11.0
81980;14;10.0
33025;14;40.0
20729;4;54.0
2785;4;9.55
102;4;10.7
3554;14;6.0
23859;1;5.0
39320;1;6.0
8281;1;8.0
60930;14;9.0
87420;14;9.0
54713;14;8.0
23650;14;22.0
692;4;18.17
9417;3;26.95
88283;9;11.69
60498;3;74.04
31690;3;86.0
29280;3;83.0
66412;5;23.0
4904;14;2.0
84794;1;4.0
73817;1;3.0
25718;1;3.0
72398;1;4.0
53858;1;5.0
78983;1;4.0
46124;1;4.0
53635;1;4.0
51601;1;4.0
6931;1;4.0
92832;1;3.0
97918;1;3.0
18996;1;3.0
76909;1;4.0
7022;1;4.0
46911;1;4.0
35579;1;4.0
69593;1;4.0
37772;1;4.0
48338;1;4.0
33618;1;4.0
16268;1;4.0
39716;1;4.0
24900;1;4.0
94235;1;3.0
61406;1;4.0
69162;1;4.0
89087;4;11.0
39399;1;4.0
10367;1;4.0
52692;1;4.0
