id_bat;nomen_miss;miss_area
248282.0;03;6358.0
248282.0;09;4508.0
5000077.0;03;10.0
5000082.0;14;27.0
5000084.0;04;68.0
5000092.0;05;128.0
5000094.0;03;144.0
5001901.0;01;17.0
5002143.0;01;20.0
5002296.0;01;22.0
5002811.0;01;32.0
5011490.0;03;224.0
5013428.0;07;271.0
5015626.0;03;1587.0
5016511.0;01;130.0
5016519.0;01;130.0
5016535.0;04;160.68
5056232.0;01;21.14
5056336.0;01;27.26
5056961.0;01;97.9
5058176.0;01;190.56
5063948.0;06;233.9
5066098.0;03;279.0
5067999.0;01;27.04
5068109.0;01;33.64
5068794.0;10;161.98000000000002
5070344.0;01;71.47
5071748.0;01;84.3
5073768.0;03;390.89
5074026.0;07;217.46
5074696.0;07;120.22
5075626.0;01;152.41
5075950.0;07;150.0
5075953.0;07;150.0
5076147.0;07;192.68
5076207.0;01;198.46
5076768.0;06;917.0999999999999
5087559.0;06;25.9
5087560.0;01;33.32
5087562.0;01;49.72
5087567.0;01;147.14999999999998
5087572.0;01;61.49
5087576.0;01;275.75
5087578.0;01;137.56
5087622.0;02;740.72
5087635.0;03;212.08
5087645.0;01;453.35
5087686.0;09;214.27
5087698.0;05;2230.0
5087705.0;05;458.0
5087717.0;13;355.0
5087729.0;07;17.41
5087730.0;03;49.87
5087739.0;01;413.16
5087745.0;03;112.78
5087749.0;01;118.6
5087765.0;07;168.86
5087769.0;03;871.4499999999999
5087773.0;07;201.38
5087774.0;03;639.5999999999999
5087779.0;09;249.69
5087785.0;07;540.36
5087790.0;07;101.31
5087791.0;03;1269.48
5087793.0;07;351.43
5087793.0;03;211.43
5087800.0;02;1340.0
5087800.0;07;47.00000000000006
5087970.0;01;14.61
5087980.0;01;57.4
5087983.0;01;287.0
5087988.0;01;248.82
5088028.0;01;204.11
5088042.0;07;301.5
5088042.0;03;99.5
5088045.0;03;1358.1
5088057.0;01;120.68
5088063.0;01;175.3
5088064.0;01;109.77
5088065.0;01;115.39
5088068.0;07;197.98
5088069.0;03;201.51
5088076.0;05;308.59
5088079.0;07;361.73
5088082.0;02;1130.68
5088088.0;01;53.26
5088112.0;01;559.4200000000001
5088121.0;01;184.41
5088137.0;01;888.9
5088140.0;03;2149.84
5088144.0;10;300.0
5088144.0;09;631.45
5088350.0;01;184.18
5088786.0;01;722.9199999999998
5088793.0;01;121.29
5088805.0;03;170.48
5088818.0;03;2300.0
5088850.0;07;84.58
5088871.0;03;100.0
5088871.0;07;200.0
5088952.0;02;15.29
5088953.0;02;24.17
5088976.0;09;114.05
5088980.0;01;364.68
5088994.0;03;661.5
5088998.0;01;193.15
5089016.0;07;324.13
5089027.0;05;225.0
5089047.0;01;4.64
5089057.0;01;11.17
5089063.0;05;17.34
5089064.0;01;20.37
5089068.0;01;25.14
5089072.0;01;30.33
5089078.0;01;35.8
5089079.0;01;36.36
5089134.0;01;125.06
5089237.0;05;166.9
5089300.0;07;92.94
5089359.0;01;283.44
5089374.0;07;101.0
5089444.0;03;122.16
5089507.0;01;454.11
5089510.0;07;152.72
5089510.0;05;152.72
5089510.0;03;100.0
5089526.0;01;825.6399999999999
5089552.0;03;170.0
5089557.0;05;97.0
5089572.0;07;436.52
5089604.0;03;297.99
5089621.0;05;1299.08
5089625.0;07;0.0
5089633.0;09;524.28
5093211.0;14;3.02
5093229.0;14;14.69
5093232.0;14;17.17
5093242.0;14;23.78
5093245.0;14;26.13
5093252.0;06;29.82
5093341.0;01;201.32
5093555.0;03;83.13
5093569.0;14;84.28
5093574.0;14;84.64
5093949.0;07;50.28
5093967.0;01;42.74
5093982.0;05;38.12
5093982.0;03;76.24
5093985.0;01;39.85
5093990.0;01;89.4
5093995.0;03;47.08
5094040.0;05;69.48
5094059.0;03;74.96
5094093.0;01;85.49
5094169.0;03;50.25
5094196.0;01;138.46
5094245.0;03;75.0
5095082.0;03;259.34
5095174.0;01;248.39
5095739.0;01;120.08
5095743.0;05;32.2
5095756.0;01;78.82
5095767.0;01;98.82
5095779.0;03;48.83
5095789.0;03;51.12
5095964.0;03;332.28
5096085.0;11;416.76
5096212.0;01;482.28
6000962.0;01;21.0
6000963.0;01;22.0
6001034.0;14;29.0
6001039.0;14;53.0
6001104.0;03;72.0
6001153.0;04;40.0
6001712.0;01;53.0
6004503.0;03;300.0
6004720.0;01;108.0
6005505.0;03;310.0
6006411.0;03;496.0
6006542.0;04;312.0
6006713.0;09;257.0
6012939.0;14;9.0
6013001.0;03;187.0
6013011.0;04;248.0
6013053.0;04;1900.0
6013055.0;03;1160.0
6013081.0;14;8.0
6013172.0;04;108.0
6018098.0;04;115.0
6018117.0;04;244.0
6018124.0;14;340.0
6018132.0;03;1719.0
6019056.0;01;33.68
6019076.0;01;35.48
6019352.0;05;158.21
6019355.0;05;160.64
6019477.0;01;1173.42
6019500.0;13;1151.97
6022752.0;03;82.0
6022767.0;06;290.0
6022768.0;06;295.0
6022769.0;06;300.0
6022772.0;03;513.0
6022775.0;09;220.0
6022775.0;03;1040.0
6022810.0;01;47.0
6022816.0;04;150.0
6022826.0;14;5.0
6022830.0;14;6.0
6022833.0;14;7.0
6022850.0;14;17.0
6022855.0;14;23.0
6022856.0;01;24.0
6022859.0;01;28.0
6022861.0;01;28.0
6022871.0;01;47.0
6022876.0;01;56.0
6022916.0;01;362.0
6022962.0;04;2050.0
6022963.0;04;2264.0
6022971.0;07;10231.0
6024051.0;14;9.0
6024074.0;14;10.0
6028957.0;09;9101.41
6030049.0;01;32.0
6030050.0;01;34.0
6030156.0;05;95.0
6030198.0;01;151.0
6030201.0;04;155.0
6030209.0;01;179.0
6030226.0;03;50.0
6030241.0;01;142.0
6032343.0;04;1196.24
6032347.0;03;487.65
6032349.0;05;1620.94
6032349.0;03;1046.0
6033909.0;01;22.0
6034077.0;01;406.0
6035635.0;14;9.0
6035700.0;16;23.0
6035736.0;13;42.0
6036563.0;04;26.0
6036565.0;13;44.0
6036575.0;04;85.0
6036601.0;16;156.0
6036602.0;16;169.0
6036604.0;16;259.0
6036605.0;01;110.0
6036605.0;03;260.0
6036610.0;13;804.0
6036611.0;16;416.0
6036613.0;04;503.0
6036615.0;04;1220.0
6038811.0;01;6.96
6038820.0;09;18.16
6038825.0;01;31.62
6038827.0;01;75.12
6038828.0;01;39.96
6038871.0;05;135.86
6038871.0;03;271.72
6044336.0;01;11.0
6044344.0;04;46.0
6044409.0;04;842.0
6044936.0;01;104.52
6045263.0;13;40.57
6049852.0;01;1719.3600000000001
6067398.0;09;8.08
6067402.0;04;8.42
6068191.0;14;2.0
6068195.0;01;2.51
6068211.0;01;2.99
6068234.0;01;3.44
6068264.0;16;4.0
6068309.0;01;4.79
6068314.0;01;4.84
6068319.0;01;4.89
6068324.0;01;4.92
6068330.0;01;4.96
6068331.0;01;4.96
6068336.0;01;5.05
6068356.0;01;10.41
6068360.0;01;5.44
6068390.0;01;5.74
6068501.0;01;6.98
6068527.0;01;7.37
6068552.0;01;7.86
6068553.0;01;7.88
6068558.0;09;7.94
6068593.0;01;8.55
6068644.0;01;9.73
6068690.0;01;10.6
6068707.0;01;12.35
6068729.0;01;11.0
6068804.0;01;12.8
6068811.0;01;13.01
6068845.0;01;13.83
6068924.0;03;16.0
6069032.0;01;18.0
6069326.0;01;28.0
6069493.0;01;34.0
6069728.0;01;82.0
6070753.0;01;157.14000000000001
6072788.0;11;67.0
6079267.0;03;107.0
6080438.0;01;127.08
6080439.0;03;127.0
6080532.0;01;129.26
6081472.0;01;145.0
6081472.0;09;165.0
6082465.0;01;269.88
6082489.0;01;274.77
6082819.0;16;200.0
6082819.0;05;270.53
6083192.0;04;315.0
6083263.0;04;1224.0
6083310.0;16;1639.0
6083373.0;03;508.0
6083386.0;05;600.0
6083386.0;03;600.0
6083820.0;20;90.0
6090782.0;01;7.15
